hand, upcard, stay win, hit doesn't bust, occurances,,,
soft19,4,34.69%,100.00%,105,,,
soft19,5,30.91%,100.00%,112,,,
soft19,6,44.12%,100.00%,76,,,
soft19,7,52.50%,100.00%,83,,,
soft19,8,60.00%,100.00%,82,,,
soft19,9,29.27%,100.00%,90,,,
soft19,10,3.48%,100.00%,405,,,
soft19,11,-13.64%,100.00%,76,,,
soft20,2,61.36%,100.00%,100,,,
soft20,3,56.25%,100.00%,94,,,
soft20,4,72.55%,100.00%,108,,,
soft20,5,66.67%,100.00%,87,,,
soft20,6,72.22%,100.00%,100,,,
soft20,7,76.60%,100.00%,94,,,
soft20,8,78.26%,100.00%,91,,,
soft20,9,75.76%,100.00%,77,,,
soft20,10,37.50%,100.00%,375,,,
soft20,11,-11.11%,100.00%,82,,,
